Day,Exercise,Sets,Reps
Monday,Bench Press,3,5
 ,Chin-ups,2,8
 ,Row,3,6-10
 ,Weighted Dips,2,8
 ,Pendlay Rows,3,5
 ,Shoulder Press,3,8
 ,Dumbbell curl,3,6-10
 ,Tricep pushdown,3,6-10
Tuesday,Squat,3,5
 ,Leg press,3,10
 ,Leg Extensions,2,8
 ,Stiff Deadlift,3,5
 ,Leg curl,3,12
 ,Stand Calf Raise,3,8
 ,Calf Raise,3,15
Wednesday,Row,3,8
 ,Pendlay Row,6,3
 ,Cable Row,3,8
 ,Dumbbell Row,2,12
 ,Chin-up,3,8
 ,Shoulder press,3,8
 ,Upright Row,2,12
 ,Side raises,3,10
Thursday,Squat,6,3
 ,Leg Press,3,12-20
 ,Leg Extension,3,12
 ,Romanian Deadlift,3,8
 ,Leg curl,3,15-20
 ,Lying Leg Curl,2,12
 ,Donkey Calf Raise,3,15
 ,Calf Raise,3,15
Friday,Dumbbell bench,3,6
 ,Incline bench,3,12
 ,Chest press,3,12
 ,Cable Fly,2,15
 ,Preacher Curl,3,8
 ,Spider curl,2,15
 ,Dumbbell curl,3,12
 ,Tricep Extension,3,8
 ,Tricep pushdown,3,12
